11000,26,AW00011000,NULL,"Yang, Jon V",Jon,V,Yang,06/10/1971,M,NULL,M,jon24@adventure-works.com,90000,2,0,Bachelors,Professional,1,0,1 (11) 500 555-0162,19/01/2011,1-2 Miles
11001,37,AW00011001,NULL,"Huang, Eugene L",Eugene,L,Huang,10/05/1976,S,NULL,M,eugene10@adventure-works.com,60000,3,3,Bachelors,Professional,0,1,1 (11) 500 555-0110,15/01/2011,0-1 Miles
11002,31,AW00011002,NULL,"Torres, Ruben",Ruben,NULL,Torres,09/02/1971,M,NULL,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Professional,1,1,1 (11) 500 555-0184,07/01/2011,2-5 Miles
11003,11,AW00011003,NULL,"Zhu, Christy",Christy,NULL,Zhu,14/08/1973,S,NULL,F,christy12@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,1 (11) 500 555-0162,29/12/2010,5-10 Miles
11004,19,AW00011004,NULL,"Johnson, Elizabeth",Elizabeth,NULL,Johnson,05/08/1979,S,NULL,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Professional,1,4,1 (11) 500 555-0131,23/01/2011,1-2 Miles
11005,22,AW00011005,NULL,"Ruiz, Julio",Julio,NULL,Ruiz,01/08/1976,S,NULL,M,julio1@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,1 (11) 500 555-0151,30/12/2010,5-10 Miles
11006,8,AW00011006,NULL,"Alvarez, Janet G",Janet,G,Alvarez,02/12/1976,S,NULL,F,janet9@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,1 (11) 500 555-0184,24/01/2011,5-10 Miles
11007,40,AW00011007,NULL,"Mehta, Marco",Marco,NULL,Mehta,06/11/1969,M,NULL,M,marco14@adventure-works.com,60000,3,3,Bachelors,Professional,1,2,1 (11) 500 555-0126,09/01/2011,0-1 Miles
11008,32,AW00011008,NULL,"Verhoff, Rob",Rob,NULL,Verhoff,04/07/1975,S,NULL,F,rob4@adventure-works.com,60000,4,4,Bachelors,Professional,1,3,1 (11) 500 555-0164,25/01/2011,10+ Miles
11009,25,AW00011009,NULL,"Carlson, Shannon C",Shannon,C,Carlson,29/09/1969,S,NULL,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,1 (11) 500 555-0110,27/01/2011,5-10 Miles
11010,22,AW00011010,NULL,"Suarez, Jacquelyn C",Jacquelyn,C,Suarez,05/08/1969,S,NULL,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,1 (11) 500 555-0169,14/01/2011,5-10 Miles
11011,22,AW00011011,NULL,"Lu, Curtis",Curtis,NULL,Lu,03/05/1969,M,NULL,M,curtis9@adventure-works.com,60000,4,4,Bachelors,Professional,1,4,1 (11) 500 555-0117,30/12/2010,10+ Miles
11012,611,AW00011012,NULL,"Walker, Lauren M",Lauren,M,Walker,14/01/1979,M,NULL,F,lauren41@adventure-works.com,100000,2,0,Bachelors,Management,1,2,717-555-0164,16/03/2013,1-2 Miles
11013,543,AW00011013,NULL,"Jenkins, Ian M",Ian,M,Jenkins,03/08/1979,M,NULL,M,ian47@adventure-works.com,100000,2,0,Bachelors,Management,1,3,817-555-0185,13/04/2013,0-1 Miles
11014,634,AW00011014,NULL,"Bennett, Sydney",Sydney,NULL,Bennett,06/11/1973,S,NULL,F,sydney23@adventure-works.com,100000,3,0,Bachelors,Management,0,3,431-555-0156,23/03/2013,1-2 Miles
11015,301,AW00011015,NULL,"Young, Chloe",Chloe,NULL,Young,26/08/1984,S,NULL,F,chloe23@adventure-works.com,30000,0,0,Partial College,Skilled Manual,0,1,208-555-0142,18/01/2013,5-10 Miles
11016,329,AW00011016,NULL,"Hill, Wyatt L",Wyatt,L,Hill,25/10/1984,M,NULL,M,wyatt32@adventure-works.com,30000,0,0,Partial College,Skilled Manual,1,1,135-555-0171,09/02/2013,5-10 Miles
11017,39,AW00011017,NULL,"Wang, Shannon",Shannon,NULL,Wang,24/12/1949,S,NULL,F,shannon1@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,1 (11) 500 555-0195,12/01/2011,5-10 Miles
